job_title_name,job_title_jobtype,job_title_description,search_term
Sr Business System Analyst,Full-time,"Job Description:
Pacific Life is investing in bright, agile and diverse talent to contribute to our mission of innovating our business and creating a superior customer experience. We’re actively seeking a talented Sr. Business System Analyst to join our Enterprise Financial Solutions team in Newport Beach, CA. This role can be on-site, hybrid, or 100% remote.
As an Oracle EPM Business System Analyst, you’ll play a key role in Pacific Life’s growth and long-term success by ensuring the reliability, interoperability, and sustainability of the various Oracle EPM and EDM applications. As a member of the Enterprise Financial Solutions team, you will fill a new role that sits on a team of 20 people within the Corporate division. Your colleagues will include other finance system analysts and process improvement professionals.
How you will make an impact:
Take responsibility for the daily operations of Oracle EPM applications and their availability to our end users
Troubleshoot FCC/ARCS/EDM/Essbase/Smart View/Narrative Reporting issues and provide resolution
Load required data into Oracle EPM applications with appropriate checks and controls
Review financial data within and between FCC, Planning and Essbase to identify any issues and make necessary corrections
Provide application support, user support, security, and other ad-hoc requests
Manage metadata by adding new members as well as modifying dimensions and hierarchies through EDM
Be responsible for designing, creating, and maintaining business rules, CDM load rules, data forms and task lists
Work with Enterprise Finance Technology and outside consulting firms in identifying and resolving environment (database, OS, network, security, etc.) issues
Support monthly systems closes, forecasts, budgets, and related reporting responsibilities
Create, modify, and maintain various financial reports to accurately reflect business performance
Prepare documentation where necessary, including process flows and system structure
Communicate system changes and coordinate and/or perform testing of system modifications
Assist with the development of training materials as and when necessary
Take on special projects and other duties as assigned
The experience you will bring:
Bachelor’s degree in Accounting, Finance, or related discipline
Strong functional knowledge of FCCS and ARCS
2+ years technical experience supporting Oracle EPM FCC/ARCS/Narrative Reporting and/or Essbase
2+ years working with business rules, data forms, batch processes and calc scripts
Familiar with accounting and financial reporting requirements as well as ERP-related systems and concepts
Strong analytical, troubleshooting, and problem-solving skills.
Proven ability to meet deadlines, prioritize workloads, maintain attention to detail and work independently in a fast-paced and rapidly changing environment
Highly skilled in ‘power user’ functions in Microsoft Excel
Working knowledge of SmartView for report creation and submission of data into Oracle EPM applications
What will make you stand out:
Experience supporting multi-currency global Oracle EPM implementation
Experience with Oracle Analytics Cloud
#LI-JA1
Base Pay Range:
The base pay range noted provides a basis to determine the appropriate offer dependent upon several factors including but not limited to geographic location, experience, skills, education and pay equity. Also, most employees are eligible for additional incentive pay.
$103,000.00 - $128,800.00 - $173,900.00
Your Benefits Start Day 1
Your wellbeing is important to Pacific Life, and we’re committed to providing you with flexible benefits that you can tailor to meet your needs. Whether you are focusing on your physical, financial, emotional, or social wellbeing, we’ve got you covered.
Prioritization of your health and well-being including Medical, Dental, Vision, and Wellbeing Reimbursement Account that can be used on yourself or your eligible dependents
Generous paid time off options including: Paid Time Off, Holiday Schedules, and Financial Planning Time Off
Paid Parental Leave as well as an Adoption Assistance Program
Competitive 401k savings plan with company match and an additional contribution regardless of participation
EEO Statement:
Pacific Life Insurance Company is an Equal Opportunity /Affirmative Action Employer, M/F/D/V. If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact a Human Resources Representative at Pacific Life Insurance Company.",businessanalyst 
Business Analyst,,"KeyLogic has an immediate need for a Business Analyst to join our growing Energy Efficiency team supporting the Department of Energy (DOE) National Energy Technology Laboratory (NETL). The Business Analyst will support the Federal Project Managers, Financial Analysts, and Administrators. This position requires an ability to take initiative and a willingness to work in a flexible and fast-paced environment directly with the Federal client and other members of our KeyLogic team.
The Business Analyst will provide cost tracking, project-document tracking and review, data input and analysis, and report preparation for business processes and various stages of program and project life cycles. The Business Analyst will create documentation and processes to support overall project management objectives. The Business Analyst will assist with program and project oversight and provide administrative support. The position will also support the process for executing Funding Opportunity Announcement (FOA), selection efforts, and award processes.
Position Requirements:
U.S. citizenship
Bachelor's Degree
Ability to travel to Washington, DC, Pittsburgh, PA or Morgantown, WV if needed
Strong experience with Microsoft Office (Word, Excel, PowerPoint)
Excellent communication skills (written and verbal)
Previous customer service experience
Experience with document editing
Ability to work closely with clients to develop briefings and reports
Technical writing experience is preferred
Ability to provide high-level data analysis is a plus
Position Responsibilities:
Occasional travel to other KeyLogic or client offices may be required (Washington, DC, Pittsburgh, PA, Morgantown, WV)
Interface with clients (Engineers, Project Managers, etc.)
Manage and track cost schedules, milestones, and project deliverables
Maintain, amend, and update records
Review data and develop regular and ad hoc reports and presentations
Track and analyze financial data within DOE and KeyLogic databases
Support client Funding Opportunity Announcement processes
At KeyLogic we recognize that our employees are our most valuable resources. We hire talented, qualified professionals and provide each of our employees with every resource and opportunity to excel in their day-to-day activities as well as advance their career.
KeyLogic is a highly successful provider of professional and engineering services. We specialize in solutions that enable our customers to make better decisions for their organization. KeyLogic’s performance has earned the company a solid reputation for high standards, proactive solutions, and an outstanding commitment to the customer, best exemplified by the fact we have never had a one-time federal customer — all of our customers have provided repeat business. This has led us to achieve significant growth every year since our founding in 1999.
At KeyLogic, we're known for our extraordinary commitment to the success of the organizations we serve. Our client list includes the Department of Defense (DoD), Environmental Protection Agency (EPA), Energy (DOE), Transportation (DOT) and Treasury (including the Internal Revenue Service (IRS)), General Services Administration (GSA), and the National Aeronautics and Space Administration (NASA).
All qualified applicants will receive consideration for employment at KeyLogic without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital; or any other status protected by law. KeyLogic is proud to be an affirmative action and equal opportunity employer.
NOTE: KeyLogic is an Equal Employment/Affirmative Action employer. We do not discriminate in hiring on the basis of sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected Veteran status, or any other characteristic protected by federal, state, or local law.
If you need a reasonable accommodation for any part of the employment process, please contact us by email at Recruiting@KeyLogic.com and let us know the nature of your request and your contact information. Request for accommodation will be considered on a case-by-case basis.
Job Code:
1322",businessanalyst 
Senior Business Analyst,- Full-time,"Job Description:
Sagitec is seeking a Senior Business Analyst to work with systems development teams, architects, and client stakeholders in our pension vertical. The role involves performing business and system analysis for clients looking to modernize or upgrade existing business processes and systems. You will be responsible for the design, testing, and implementation of the system to create a solution that satisfies our clients’ unique business needs.
Responsibilities:
Participate and collaborate with client, development, and testing teams throughout the design, development, testing, and implementation of a solution.
Lead meetings with client subject matter experts (SMEs) to elicit, clarify, and confirm business requirements.
Facilitate/support design meetings with Sagitec and client team participants.
Perform functional analysis of the client’s current business process and supporting documentation.
Identify process improvements and facilitate reengineering of business process.
Responsible for development of business analysis deliverables.
Support, and at times lead, the preparation of test cases and associated deliverables.
Execute production rollout activities.
Participate in the creation of training materials and conduct training activities for system end users.
Support end users during User Acceptance Testing (UAT) and, if required, throughout the duration of maintenance and support agreements.
The role may include part time or full-time travel to client locations.
Qualifications:
Minimum Qualifications
Minimum of 4+ years of professional experience working in a Business Analyst role for the design, development, and implementation of large-scale solutions.
Experience evaluating business requirements and working with subject matter experts (SME) and technical analysts (TA) to translate into a functional design.
Proven ability to develop task plans, manage time effectively across simultaneous project activities, and meet target deadlines.
Drives assigned tasks to completion within target deadlines.
Approaches tasks in an analytical manner and focuses on defining a solution to the root need of the task.
Experience with AGILE design methodology and SCRUM meeting facilitation .
Experience with user story creation and grooming .
Experience with business processing modeling or BPMN.
Understanding of entity relationships and data structures.
Excellent communication skills (written and verbal) to clearly articulate technical solutions to non-technical staff.
Experience in facilitating meetings and presenting to technical and non-technical staff.
A collaborative mindset with the ability to work in team environment, but also self-motivated to produce results with minimal direction.
Ability to form working relationships with groups of people from varied backgrounds, experience, and education levels.
Preferred Qualifications
Strong preference is given for experience with pension administration or benefit claim systems.
Experience with CASE tools including rules engine (logical rules and decision tables), business intelligence, and user interface (UI) prototyping.
Experience with SQL or querying data structures.
CBAP, ECBA, or PMI-PBA certification.
Education:
Bachelor’s degree, preferably in Computer Science, IT, Management, Business, or related field.
Master’s degree a plus.
Compensation and Benefits:
Fulltime/permanent
$100,000 – $115,000 per year
401(k) plan with company match
Health insurance
Dental insurance
Vision insurance
Company paid group life insurance
Company paid short and long-term disability
Voluntary life insurance
Flexible spending account
Paid time off
Company holidays
Floating holidays
Employee assistance program
Referral program
Tuition assistance
About Sagitec Solutions:
Sagitec is a leading low-code/no-code application development platform provider for private and public sector organizations, specializing in serving customers focused on solving complex, business-rule-driven problems. Using Sagitec’s low-code/no-code platform, Xelence, we provides evolutionary enterprise-grade solutions for pension, labor and employment, health insurance, disability insurance, paid family medical leave, managed care providers, and other benefits providers that want to accelerate excellence by placing a platform at the center of their enterprise universe. With deep industry experience in software implementation and systems integration, Sagitec is a partner that clients can trust to drive their vision into action. For more information, visit: www.sagitec.com",businessanalyst 
IT Business Analyst,- Contract,"Our Big Four client is seeking a highly skilled and proactive Business Analyst to join their technology team REMOTELY. The candidate should be able to perform job duties as expected with a self-starter mentality and demonstrate the ability to work independently and take ownership of their responsibilities. They should have a proven track record of successfully delivering projects and driving initiatives forward without constant supervision.
NOTE: US Citizen or Green Card holder only. No C2C arrangements at this time. Candidates must also sit in EST or CST time zones to be considered.
Compensation: $70-75/hr
Requirements:
7-10 years of experience as a business analyst on application and development projects, working hand-in-hand with product owners in an Agile/SAFe environment
Previous experience collaborating with and acting as a liaison to external vendors/offshore teams
Previous experience using both Azure DevOps (ADO) and Jira
Medium-advanced experience in Microsoft Office/Google Suite products
Exceptional communication skills, both written and verbal, and have the ability to clearly convey technical concepts to both technical and non-technical team members
Proactive problem-solver, anticipating challenges, and proposing innovative solutions
Possess strong documentation and presentation skills, ensuring clear and concise communication of complex information
Possess a deep understanding of business processes, objectives, and strategies
Strong stakeholder management experience
Responsibilities:
Analyze complex systems in an AGILE/SAFe delivery model, bridging the gap between technology and business objectives, and providing valuable insights and recommendations
Collaborate with various stakeholders to gather requirements, prioritize and analyze them, develop business/technical flows, and translate them into actionable solutions
Align technology solutions with client’s goals and effectively communicate how technology can drive business value
#LI-MK1
#EP
#LI-Remote",businessanalyst 
Business Analyst,"- Full-time, Contract","Three Resumes per supplier.
Carefully look at the required skills. This is something we have not worked on before.
SIOP Post Job Description: The 1LMX Transformation program is changing how work is done at Lockheed Martin. The Enterprise Control Tower (ECT) will provide key capabilities required to execute Production and Sustainment efficiently through the Supply Value Stream. On the Enterprise Control Tower Sales, Inventory and Operation Planning (SIOP) team, we are focused on creating services and tools that will be used across the enterprise to balance between the supply and demand of parts, labor, and other resources. We are seeking a highly motivated, creative Full Stack Engineer to facilitate our transformation efforts. Responsible for implementing COTS software solutions across all stages of the systems development lifecycle: design, integration, implementation, and support.
Job Types: Full-time, Contract
Salary: $60.00 - $80.00 per hour
Experience level:
5 years
Schedule:
8 hour shift
Experience:
Kinaxis Rapid Response: 7 years (Preferred)
SAP: 6 years (Preferred)
Work Location: Remote",businessanalyst 
Business Analyst,- Contract,"Position: Intermediate Business Analyst
Client: Federal Government
Location: Remote (Canada Only)
Duration: 1 year initial + extensions
Security Clearance: Reliability Clearance (Must already be held)
Language: English
Background:
Our client federal government client requires the services of an Intermediate Business Analyst with the primary objective of being to determine and execute the most straightforward path for migrating custom applications, services and databases to the cloud. The team will adopt the “Minimum Viable Product” approach, where they’ll identify the minimum set of features required to upgrade to the cloud, and no more. The process includes initial assessment, implementing a foundation for cloud architecture, retooling, application refactoring for cloud compatibility, and database migration to the cloud. Third party libraries and low-code/no-code platforms will be prioritized where possible. At the end of this phase, all applications and associated services and databases must be hosted on the cloud.
Qualifications:
Existing Federal Government clearance (secret)
10 years experience as a business analyst with web-based applications
5 years experience working with Microsoft based IT Solution environment
3 years experience with custom cloud web applications in Microsoft Azure
2 years working with Microsoft Azure DevOps (Agile template)
Responsibilities:
Evaluate existing design requirements to document and compose user stories.
Assist in developing project timelines and sprint planning.
Participate in developing sprint reports on the status/progress of the deliverables to ensure timely completion.
Conduct and document sprint validation sessions with stakeholders.
Document and track change requests, defects, tasks and ensure they’re addressed.
Work with stakeholders to ensure scope is adhered to.
Create test plans for internal Quality Assurance and User Acceptance Testing.
Report on technical issues or questions and make recommendations to project team.
Create user training documentation.
Assist in conducting User Acceptance Testing sessions with end-users
Job Type: Contract
Salary: $50.00 - $70.00 per hour
Experience level:
7 years
Schedule:
Monday to Friday
Work Location: Remote",businessanalyst 
Business Analyst,- Contract,"Required Skills and Experience
1. Required: Experience with Waterfall Methodology – 5 years
2. Required: Experience with writing use cases and requirements documents – 5 years
3. Required: Experience with developing business requirements – 5 years
4. Required: Experience with developing functional requirements – 5 years
5. Required: Experience business process re-engineering – 4 years
6. Highly Desired: Experience in business change management – 3 years
7. Highly Desired: Experience with Team Foundation Server (TFS) – 3 years
Job Type: Contract
Salary: Up to $68.00 per hour
Experience level:
9 years
Schedule:
8 hour shift
Experience:
Waterfall Methodology: 5 years (Preferred)
writing use cases and requirements documents: 5 years (Preferred)
developing business requirements: 6 years (Preferred)
developing functional requirements: 6 years (Preferred)
business process re-engineering: 6 years (Preferred)
business change management: 5 years (Preferred)
Team Foundation Server (TFS): 4 years (Preferred)
Work Location: Remote",businessanalyst 
Business Analyst - Oracle,- Full-time,"Location: Nashville, TN
Title: Business Analyst - Oracle
Pay/Salary/Benefits/Perks: up to $120k based upon experience
Work from Home Policy: Fully Remote
Skills Required: Oracle, ETL, SQL
Best Personality Match for this Role: trainable, coachable, passionate about IT, ambitious, and good communication skills
Company Overview:
We are a leading technology company specializing in data-driven solutions for businesses across various industries. Our innovative products and services empower organizations to make informed decisions, optimize operations, and drive growth. As we continue to expand our offerings, we are seeking a talented Oracle Data Business Analyst to join our dynamic team.
Job Description:
As an Oracle Data Business Analyst, you will play a crucial role in delivering our product conversion plan and driving data-related initiatives. Your responsibilities will include data mapping, data validation automation, enhancing the database, and collaborating with key stakeholders to identify innovative solutions. This is a remote position that offers competitive compensation and the opportunity to work with cutting-edge technologies.
Responsibilities:
Product Conversion Plan: Assist in the execution of our product conversion plan by analyzing data requirements, mapping existing data structures, and providing recommendations for data migration strategies.
Data Mapping: Collaborate with cross-functional teams, including developers, project managers, and business stakeholders, to understand data mapping requirements and ensure data accuracy and consistency throughout the conversion process.
Data Validation Automation: Develop automated processes and scripts for data validation, verification, and reconciliation to ensure data integrity and quality.
Database Enhancement: Identify opportunities to enhance the Oracle database system, propose improvements, and implement solutions to optimize data storage, retrieval, and performance.
Stakeholder Collaboration: Work closely with key stakeholders to understand their business needs, gather requirements, and propose innovative data-driven solutions to improve operational efficiency and drive business growth.
Data Analysis and Reporting: Conduct in-depth data analysis, generate reports, and present actionable insights to stakeholders, facilitating informed decision-making and driving continuous improvement.
Documentation: Create and maintain comprehensive documentation, including data dictionaries, process flows, and technical specifications, to ensure clarity and transparency across data-related projects.
Requirements:
Experience: Minimum of [4] years of experience as a Data Business Analyst or a similar role, preferably working with Oracle databases and data conversion projects.
Technical Skills: Proficiency in Oracle databases, SQL, and data mapping techniques. Experience with ETL tools, data validation automation, and database performance tuning is highly desirable.
Analytical Thinking: Strong analytical and problem-solving skills, with the ability to analyze complex data sets, identify patterns, and derive meaningful insights to support business objectives.
Communication: Excellent verbal and written communication skills to effectively collaborate with technical and non-technical stakeholders, present findings, and explain technical concepts in a clear and concise manner.
Team Player: Proven ability to work collaboratively in a cross-functional team environment, demonstrating strong interpersonal skills, adaptability, and a willingness to learn.
Project Management: Ability to manage multiple priorities, meet deadlines, and deliver high-quality work in a fast-paced environment. Experience with Agile methodologies is a plus.
A bachelor's degree in Computer Science, Information Systems, Data Analytics, or a related field is preferred.
Join our team and contribute to the success of our data-driven solutions! If you are a self-motivated individual with a passion for data analysis, Oracle databases, and driving innovation, we want to hear from you.",businessanalyst 
BI Reporting Analyst III - Remote,- Contract,"RESPONSIBILITIES:
Kforce has a client seeking a remote BI Reporting Analyst III.
Responsibilities:
In this role, the BI Reporting Analyst will work with the business to improve, automate and align business data with current compliance processes
Analyze complex compliance problems that can be solved through change management or automation
Work close with the business to ensure compliance and on-time completion of regulatory reporting requirements of current and new product offerings and features
Provide business intelligence, data analytics, metrics, and reporting
Leverage various data management tools and applications, including but not limited to Tableau, ETL, and Python to create innovative reports, analytics, and visualizations
The BI Reporting Analyst will translate policy and strategic initiatives into quantitative data analysis and investigative data research
REQUIREMENTS:
4+ years of professional experience in data analytics and reporting building
Familiarity with visualization tools such as Power BI, Tableau, Tableau CRM, etc.
Proficiency in SQL and other programming languages
Experience with data integration and manipulation from multiple sources
Ability to work independently - self-starter, enthusiastic and highly motivated
Strong analytical and problem solving skills with the ability to exercise sound and balanced judgment
Strong organizational skills and attention to detail
The pay range is the lowest to highest compensation we reasonably in good faith believe we would pay at posting for this role. We may ultimately pay more or less than this range. Employee pay is based on factors like relevant education, qualifications, certifications, experience, skills, seniority, location, performance, union contract and business needs. This range may be modified in the future.
We offer comprehensive benefits including medical/dental/vision insurance, HSA, FSA, 401(k), and life, disability & ADD insurance to eligible employees. Salaried personnel receive paid time off. Hourly employees are not eligible for paid time off unless required by law. Hourly employees on a Service Contract Act project are eligible for paid sick leave.
Note: Pay is not considered compensation until it is earned, vested and determinable. The amount and availability of any compensation remains in Kforce's sole discretion unless and until paid and may be modified in its discretion consistent with the law.
This job is not eligible for bonuses, incentives or commissions.
Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",businessanalyst 
Business Analyst - Remote,"- Full-time, Contract","One of our Govt. clients in the State of North Carolina, DHB is seeking a Business Analyst that is able to work without assistance; can provide limited leadership to others; is able to manage medium complexity work efforts; may have industry experience.
POSITION: Business Analyst (712637)
LOCATION: Remote
CONTRACT LENGTH: Long Term (12+ Months contract with possible extension)
Pay rate: $54/hr
Candidate must be either a US Citizen or a Green Card holder.
JOB DESCRIPTION:
Managing business analysis work or projects with distinct deliverables to a solution
Identifying and documenting business processes, issues, value levers, metrics, and capabilities
Collecting, organizing, and analyzing data
Completing analysis and documentation of as-is capabilities
Conducting interviews to gather business requirements
Conducting industry, competitive and State analyses (strategic, financial, operational), business case development, as well as market research for benchmarking
Supporting required system go-live activities, including conversion, support desk, site support, training delivery, logistics management, etc.
Supporting change management and communications programs and activities
Performing PMO activities related to project time tracking, work plan updates, status reporting, service metric reporting, and related project administration tasks
DESIRED SKILLS:
Experience working in a fast-paced (preferably Agile) IT environment. (Highly desired 7 Years)
Experience translating technical information into clear, concise documents to be used by technical and non-technical personnel. (Required 7 Years)
Experience documenting communications, minutes, agendas, and presentations for stakeholder groups. (Required 7 Years)
Experience documenting system documentation, requirements, and release notes. (Required 7 Years)
Experience documenting status reports, standard operating procedures (SOP), policies and procedures, CMS documentation related to MMIS Certification. (Required 7 Years)
Jira (Highly desired 3 Years)
SharePoint (Required 7 Years)
Visio (Required 7 Years)
Experience with Agile/SCRUM development methodology. (Highly desired 3 Years)
State Government experience. (Highly desired 7 Years)
Excellent communication skills, both verbal and written. (Required 7 Years)
Job Types: Full-time, Contract
Pay: $54.00 per hour
Benefits:
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Experience:
Working in a fast-paced (preferably Agile) IT environment: 7 years (Required)
Translating tech info into concise docs for tech & non-tech.: 7 years (Required)
Documenting communications for stakeholders: 7 years (Required)
documenting system, requirements, and release notes: 7 years (Required)
Documenting status reports, SOPs, CMS docs for MMIS Cert: 7 years (Required)
Jira: 3 years (Required)
SharePoint: 7 years (Required)
Visio: 7 years (Required)
Agile/SCRUM development methodology: 3 years (Required)
State Government: 7 years (Required)
License/Certification:
US Citizenship or Green Card (Required)
Work Location: Remote",businessanalyst 
