Count,Title,Release Date,Team,Team1,Team2,Rating,Number of Reviews,Genres,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Summary,Plays,Playing,Backlogs,Wishlist,Team Count
0,Elden Ring,2022-02-25,['Bandai Namco Entertainment',Bandai Namco Entertainment,Not applicable,4.5,3900,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,elden ring is a fantasy action and open world game with rpg elements such as stats weapons and spells rise tarnished and be guided by grace to brandish the power of the elden ring and become an elden lord in the lands between,17000,3800,4600,4800,1
1,Hades,2019-12-10,['Supergiant Games'],Supergiant Games,Not applicable,4.3,2900,"['Adventure', 'Brawler', 'Indie', 'RPG']",Adventure,Brawler,Indie,RPG,Not applicable,Not applicable,a roguelite hack and slash dungeon crawler in which zagreus son of hades the greek god of the dead attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the evershifting underworld while getting to know and forging relationships with its inhabitants,21000,3200,6300,3600,1
2,The Legend of Zelda: Breath of the Wild,2017-03-03,"['Nintendo', 'Nintendo EPD Production Group No. 3']",Nintendo, Nintendo EPD Production Group No. 3,4.4,4300,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,the legend of zelda breath of the wild is the first 3d openworld game in the zelda series link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses unlike many games in the series breath of the wild does not impose a specific order in which quests or dungeons must be completed while the game still has environmental obstacles such as weather effects inhospitable lands or powerful enemies many of them can be overcome using the right method a lot of critics ranked breath of the wild as one of the best video games of all time,30000,2500,5000,2600,2
3,Undertale,2015-09-15,"['tobyfox', '8-4']",tobyfox,8-4,4.2,3500,"['Adventure', 'Indie', 'RPG', 'Turn-Based-Strategy']",Adventure,Indie,RPG,Turn-Based-Strategy,Not applicable,Not applicable,a small child falls into the underground where monsters have long been banished by humans and are hunting every human that they find the player controls the child as they try to make it back to the surface through hostile environments all the while engaging with a turnbased combat system with puzzlesolving and bullet hell elements as well as other unconventional game mechanics,28000,679,4900,1800,2
4,Hollow Knight,2017-02-24,['Team Cherry'],Team Cherry,Not applicable,4.4,3000,"['Adventure', 'Indie', 'Platform']",Adventure,Indie,Platform,Not applicable,Not applicable,Not applicable,a 2d metroidvania with an emphasis on close combat and exploration in which the player enters the onceprosperous nowbleak insect kingdom of hallownest travels through its various districts meets friendly inhabitants fights hostile ones and uncovers the kingdoms history while improving their combat abilities and movement arsenal by fighting bosses and accessing outoftheway areas,21000,2400,8300,2300,1
5,Minecraft,2011-11-18,['Mojang Studios'],Mojang Studios,Not applicable,4.3,2300,"['Adventure', 'Simulator']",Adventure,Simulator,Not applicable,Not applicable,Not applicable,Not applicable,minecraft focuses on allowing the player to explore interact with and modify a dynamicallygenerated map made of onecubicmetersized blocks in addition to blocks the environment features plants mobs and items some activities in the game include mining for ore fighting hostile mobs and crafting new blocks and tools by gathering various resources found in the game the games openended model allows players to create structures creations and artwork on various multiplayer servers or their singleplayer maps other features include redstone circuits for logic computations and remote actions minecarts and tracks and a mysterious underworld called the nether a designated but completely optional goal of the game is to travel to a dimension called the end and defeat the ender dragon,33000,1800,1100,230,1
6,Omori,2020-12-25,"['OMOCAT', 'PLAYISM']",OMOCAT, PLAYISM,4.2,1600,"['Adventure', 'Indie', 'RPG', 'Turn-Based-Strategy']",Adventure,Indie,RPG,Turn-Based-Strategy,Not applicable,Not applicable,a turnbased surreal horror rpg in which a child traverses various mundane quirky humourous mysterious and horrific lands with his friends in search of a missing person while confronting his past and his fears explore a strange world full of colorful friends and foes when the time comes the path you’ve chosen will determine your fate and perhaps the fate of others as well,7200,1100,4500,3800,2
7,Metroid Dread,2021-10-07,"['Nintendo', 'MercurySteam']",Nintendo, MercurySteam,4.3,2100,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,join intergalactic bounty hunter samus aran in her first new 2d metroid story in 19 years samus’ story continues after the events of the metroid fusion game when she descends upon planet zdr to investigate a mysterious transmission sent to the galactic federation the remote planet has become overrun by vicious alien lifeforms and chilling mechanical menaces samus is more agile and capable than ever but can she overcome the inhuman threat stalking the depths of zdr,9200,759,3400,3300,2
8,Among Us,2018-06-15,['InnerSloth'],InnerSloth,Not applicable,3.0,867,"['Indie', 'Strategy']",Indie,Strategy,Not applicable,Not applicable,Not applicable,Not applicable,join your crewmates in a multiplayer game of teamwork and betrayal play with 415 players online or via local wifi as you attempt to prepare your spaceship for departure but beware as one or more random players among the crew are impostors bent on killing everyone,25000,470,776,126,1
9,NieR: Automata,2017-02-23,"['PlatinumGames', 'Square Enix']",PlatinumGames, Square Enix,4.3,2900,"['Brawler', 'RPG']",Brawler,RPG,Not applicable,Not applicable,Not applicable,Not applicable,nier automata tells the story of androids 2b 9s and a2 and their battle to reclaim the machinedriven dystopia overrun by powerful machines,18000,1100,6200,3600,2
